,Country/Region,Lat,Long,date,date_confirmed_cases
241,Iceland,64.9631,-19.0208,1/23/20,0.0
242,India,20.593684,78.96288,1/23/20,0.0
243,Indonesia,-0.7893,113.9213,1/23/20,0.0
244,Iran,32.427908,53.68804599999999,1/23/20,0.0
245,Iraq,33.223191,43.679291,1/23/20,0.0
246,Ireland,53.1424,-7.6921,1/23/20,0.0
247,Israel,31.046051000000002,34.851612,1/23/20,0.0
248,Italy,41.87194,12.56738,1/23/20,0.0
249,Jamaica,18.1096,-77.2975,1/23/20,0.0
250,Japan,36.204824,138.252924,1/23/20,2.0
251,Jordan,31.24,36.51,1/23/20,0.0
252,Kazakhstan,48.0196,66.9237,1/23/20,0.0
253,Kenya,-0.0236,37.9062,1/23/20,0.0
254,"Korea, South",35.90775700000001,127.766922,1/23/20,1.0
255,Kosovo,42.602636,20.902977,1/23/20,0.0
256,Kuwait,29.311659999999996,47.481766,1/23/20,0.0
257,Kyrgyzstan,41.20438,74.766098,1/23/20,0.0
258,Latvia,56.8796,24.6032,1/23/20,0.0
259,Lebanon,33.8547,35.8623,1/23/20,0.0
260,Lesotho,-29.61,28.2336,1/23/20,0.0
261,Liberia,6.4280550000000005,-9.429499,1/23/20,0.0
262,Libya,26.3351,17.228331,1/23/20,0.0
263,Lithuania,55.1694,23.8813,1/23/20,0.0
264,Luxembourg,49.8153,6.1296,1/23/20,0.0
265,Madagascar,-18.766947000000002,46.869107,1/23/20,0.0
266,Malawi,-13.2543,34.3015,1/23/20,0.0
267,Malaysia,4.210483999999999,101.97576600000001,1/23/20,0.0
268,Maldives,3.2028,73.2207,1/23/20,0.0
269,Mali,17.570692,-3.996166000000001,1/23/20,0.0
270,Malta,35.9375,14.3754,1/23/20,0.0
271,Mauritania,21.0079,-10.9408,1/23/20,0.0
272,Mauritius,-20.348404000000002,57.552152,1/23/20,0.0
273,Mexico,23.6345,-102.5528,1/23/20,0.0
274,Moldova,47.4116,28.3699,1/23/20,0.0
275,Monaco,43.7333,7.4167,1/23/20,0.0
276,Mongolia,46.8625,103.8467,1/23/20,0.0
277,Montenegro,42.708678000000006,19.37439,1/23/20,0.0
278,Morocco,31.7917,-7.0926,1/23/20,0.0
279,Mozambique,-18.665695,35.529562,1/23/20,0.0
280,Namibia,-22.9576,18.4904,1/23/20,0.0
281,Nepal,28.1667,84.25,1/23/20,0.0
282,Netherlands,21.408839999999998,-52.99206,1/23/20,0.0
283,New Zealand,-40.9006,174.886,1/23/20,0.0
